Scheme name ,Category,description,
PM-JANMAN (Pradhan Mantri Janjati Adivasi Nyaya Maha Abhiyan), Rural,PM-JANMAN (Pradhan Mantri Janjati Adivasi Nyaya Maha Abhiyan) CS MoTA 2023 Tribal Welfare To improve the socio-economic conditions of Particularly Vulnerable Tribal Groups (PVTGs).,
Pradhan Mantri Fasal Bima Yojana (PMFBY),Agriculture,Third largest insurance scheme globally that shields farmers from crop loss arising from unforeseen events and natural calamities.,
PM KISAN SAMMAN NIDHI (PM-KISAN),Agriculture,"A Central Sector scheme providing income support of 6,000 per year in three equal installments to all land-holding farmer families.",
Agriculture Infrastructure Fund (AIF),Agriculture,A medium-long term debt financing facility for investment in post-harvest management infrastructure and community farming assets.,
AgriSURE Fund,Agriculture,A Category-II Alternative Investment Fund providing funding to start-ups and rural enterprises in the agriculture sector.,
PM-AASHA,Agriculture,A scheme to ensure remunerative prices for farmers and control price volatility of essential commodities like pulses and oilseeds.,
NAMO DRONE DIDI SCHEME,Agriculture,A central sector scheme empowering women-led Self-Help Groups by equipping them with drones for agricultural services.,
Prime Minister Dhan-Dhaanya Krishi Yojana,Agriculture,Targets 100 districts with low productivity to enhance agricultural productivity and adopt crop diversification.,
Credit Guarantee Scheme for e-NWR,Agriculture,Helps farmers access post-harvest loans by leveraging electronic warehouse receipts as collateral to avoid distress selling.,
Krishonnati Yojana CSS MoAFW 2017 Agriculture Umbrella ,Agriculture,Krishonnati Yojana CSS MoAFW 2017 Agriculture Umbrella scheme subsuming 11 schemes.,
Rashtriya Krishi Vikas Yojana,Agriculture,"Rashtriya Krishi Vikas Yojana(RKVY, National Agriculture Development Programme) CSS MoA 2007 Agriculture Allocation in 2022-23 crossed â‚¹10,400 crore (equivalent to â‚¹120 billion or US$1.4 billion in 2023). Includes Pradhan Mantri Krishi Sinchai Yojna (Per Drop More Crop) and agricultural mechanization.",
National Mission for Sustainable Agriculture(NMSA),Agriculture,National Mission for Sustainable Agriculture(NMSA) CSS MoAFW 2014 Agriculture To promote sustainable agriculture through climate change adaptation measures.,
Pradhan Mantri Krishi Sinchai Yojana(PMKSY),Agriculture,Pradhan Mantri Krishi Sinchai Yojana(PMKSY) CSS MoAFW 2015 Agriculture To improve water use efficiency (Per Drop More Crop).,
Pradhan Mantri Kisan Maandhan Yojana (PM-KMY),Agriculture ,"A voluntary and contributory pension scheme providing 3,000 monthly to small and marginal farmers after age 60.",
National Mission on Natural Farming (NMNF),Agriculture ,"A Centrally Sponsored Scheme to promote chemical-free and sustainable agricultural practices across 15,000 clusters.",
UDAN 5.5,Civil Aviation,"Promotes last-mile connectivity in remote and hilly regions using seaplanes, choppers, and small aircraft.",
PM-WANI,Communications,"Enhances the proliferation of public Wi-Fi hotspots to create robust digital communications infrastructure, especially in rural areas.",
PM Internship Scheme,Corporate Affairs,Provides 12-month internship opportunities to one crore youth in top 500 companies to enhance employability.,
Gyan Bharatam Mission,Culture,"A mission focused on the survey, documentation, and conservation of more than one crore Indian manuscripts.",
PRITHVI VIGYAN,Earth Sciences,"Subsumes five schemes to enhance understanding of the Earth and its vital signs like weather, climate, and polar science.",
PM-SHRI Scheme,Education,"Strengthens existing schools to provide high-quality education in equitable, inclusive, and joyful 'Green School' environments.",
PM Vidyalaxmi Scheme,Education,Provides collateral-free and guarantor-free loans to meritorious students for pursuing higher education in top institutions.,
Rashtriya Uchchatar Shiksha Abhiyan,Education,Rashtriya Uchchatar Shiksha Abhiyan(National Higher Education Mission) CSS MoE 2013 Education Improving the quality of higher education in India.,
Kasturba Gandhi Balika Vidyalaya,Education,Kasturba Gandhi Balika Vidyalaya(Kasturba Gandhi Girls School) CSS MoHRD 2004 Education Educational facilities (residential schools) for girls belonging to SC ST OBC minority communities and families below the poverty line (BPL) in educationally backward blocks.,
Promotion of University Research and Scientific Excellence,Education,Promotion of University Research and Scientific Excellence(PURSE) â€” DST 2009 Education To provide support to the performing universities across the country for research and development.,
Rajiv Gandhi Scheme for Empowerment of Adolescent Boys,Education,Rajiv Gandhi Scheme for Empowerment of Adolescent Boys(SABLA) CSS MoWCD 2010 Education Empowering adolescent boys through education and health awareness.,
PM-SHRI (Pradhan Mantri Schools for Rising India),Education,PM-SHRI (Pradhan Mantri Schools for Rising India) CSS MoE 2022 Education To upgrade and develop more than 14,500 schools across the country.
NIPUN Bharat Mission,Education,NIPUN Bharat Mission(National Initiative for Proficiency in Reading with Understanding and Numeracy) CS MoE 2021 Education To ensure that every child in the country necessarily attains foundational literacy and numeracy by the end of Grade 3 by 2026-27.,
Swayam Prabha ,Education,Swayam Prabha CS MoE 2017 Education A group of 34 DTH channels devoted to telecasting of high-quality educational programmes.,
Prerana,Education ,An experiential learning program for students of classes 9 to 12 focused on leadership and value-based education.,
National Clean Air Programme (NCAP),Environment,A long-term strategy to achieve 20% to 40% reduction of PM10 and PM2.5 concentrations in 131 target cities.,
Green Credit Programme,Environment,A market-based instrument providing tradable green credits for voluntary environmental actions like tree plantation.,
National Action Plan for Climate Change(NAPCC) CCP MoST 2008,Environment,National Action Plan for Climate Change(NAPCC) CCP MoST 2008 Climate Improving science and technology capabilities with regard to climate change.,
Saubhagya Yojana(Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Environment,Saubhagya Yojana(Pradhan Mantri Sahaj Bijli Har Ghar Yojana) CS MoP 2017 Energy To provide electricity connections to all un-electrified households.,
Pradhan Mantri Ujjwala Yojana(PMUY),Environment,Pradhan Mantri Ujjwala Yojana(PMUY) CS MoPNG 2016 Energy To provide LPG connections to BPL households.,
Deendayal Upadhyaya Gram Jyoti Yojana(DDUGJY),Environment,Deendayal Upadhyaya Gram Jyoti Yojana(DDUGJY) CS MoP 2014 Rural Electrification To provide continuous power supply to rural India.,
Integrated Power Development Scheme(IPDS) ,Environment,Integrated Power Development Scheme(IPDS) CS MoP 2014 Energy To strengthen the sub-transmission and distribution network in urban areas.,
National Solar Mission,Environment,National Solar Mission CS MNRE 2010 Energy To promote solar energy in the country.,
MISHTI Scheme,Environment ,Aims to enhance mangrove coverage along coastlines and saltpan lands while supporting local incomes.,
PM-PRANAM,Fertilizers & Environment,Encourages the balanced use of fertilizers and bio-fertilisers by financing states through savings in fertilizer subsidies.,
Atal Pension Yojana (APY),Finance,"A universal social security system for the unorganized sector providing a guaranteed minimum monthly pension of 1,000 to 5,000.",
Pradhan Mantri Mudra Yojana (PMMY),Finance,"Provides loans up to 20 lakh (Tarun Plus) to non-corporate, non-farm small and micro enterprises.",
NPS Vatsalya,Finance,"An innovative pension scheme designed for minors, transitioned to the child's name upon attaining 18 years.",
PM Mudra Yojana,Finance,PM Mudra Yojana(PMMY) CS MoF 2015 Finance and Banking To provide loans up to 10 lakh to the non-corporate non-farm small micro enterprises.,
Unified Pension Scheme (UPS),Finance ,Provides an assured pension of 50% of the average basic pay for government employees with at least 25 years of service.,
Mutual Credit Guarantee Scheme for MSMEs,Finance ,Provides 60% guarantee coverage for credit facilities up to 100 crore for MSMEs to purchase equipment.,
PAN 2.0 Project,Finance ,"Modernizes the PAN system into a unified, paperless, online system with integrated QR codes for all digital systems.",
National Pension System 2004,Finance ,National Pension System â€” MoF 2004 Pension Contribution-based pension system. For government employees in 2004 and the general public in 2009.,
Kerosene subsidy CS â€” 1956 Subsidy Eliminated in 2021,Finance ,Kerosene subsidy CS â€” 1956 Subsidy Eliminated in 2021.,
Svamitva Yojana(Survey of Villages Abadi and Mapping with Im,Finance ,Svamitva Yojana(Survey of Villages Abadi and Mapping with Improvised Technology in Village Area) CS MoPR 2020 Rural development To help in mapping of properties in villages with the help of drones. Aims in helping to reduce disputes over property. The portal will help in making it easier for villagers to avail bank loans.,
Pradhan Mantri Jan Dhan Yojana,Finance ,Pradhan Mantri Jan Dhan Yojana(PMJDY) CS MoF 2014 Finance and Banking Financial inclusion campaign.,
National Social Assistance Programme(NSAP),Finance ,National Social Assistance Programme(NSAP) CSS MoRD 1995 Social Welfare To provide financial assistance to elderly widows and persons with disabilities.,
Pradhan Mantri Suraksha Bima Yojana(PMSBY),Finance ,Pradhan Mantri Suraksha Bima Yojana(PMSBY) CS MoF 2015 Insurance Accident insurance scheme.,
Pradhan Mantri Jeevan Jyoti Bima Yojana(PMJJBY),Finance ,Pradhan Mantri Jeevan Jyoti Bima Yojana(PMJJBY) CS MoF 2015 Insurance Life insurance scheme.,
Atal Pension Yojana(APY),Finance ,Atal Pension Yojana(APY) CS MoF 2015 Pension Pension scheme for workers in the unorganised sector.,
Stand-Up India ,Finance ,Stand-Up India CS MoF 2016 Entrepreneurship To facilitate bank loans between 10 lakh and 1 crore to at least one SC ST borrower and one woman borrower per bank branch for setting up a greenfield enterprise.,
PM Street Vendor's AtmaNirbhar Nidhi(PM SVANidhi),Finance ,PM Street Vendor's AtmaNirbhar Nidhi(PM SVANidhi) CS MoHUA 2020 Micro-credit To provide affordable working capital loans to street vendors.,
Food Subsidy ,Finance ,Food Subsidy CS MoCAFPD 1945 Subsidy To ensure food security for all citizens.,
PM Matsya Kisan Samridhi Sah-Yojana,Fisheries,A sub-scheme focused on formalizing the fisheries sector and providing small enterprises with work-based identities.,
Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY),Food ,Provides 5 kg of food grain per person per month free of cost to economically weaker sections and priority households.,
National One Health Mission,Health,"Integrates human, animal, and environmental sectors for disease surveillance, outbreak response, and pandemic preparedness.",
Ayushman Bharat (PM-JAY),Health,Provides a health cover of 5 lakhs per family per year for secondary and tertiary care hospitalization for the bottom 40% population.,
Ayushman Bharat Yojana,Health,"Ayushman Bharat Yojana(AB PM-JAY, Ayushman Bharat Pradhan Mantri Jan Arogya Yojana, People's Health Scheme) CSS MoHFW 2018 Health Ayushman Bharat National Health Protection Scheme (AB-NHPS) aims to provide free access to healthcare for 50 crore people in the country. Implemented across India expect 3 states UTs. By July 2021 Ayushman cards issued numbered 16.14 crore. By March 2022 hospitalisations under the scheme had crossed 30 million with a valuation of â‚¹35,000 crore (equivalent to â‚¹390 billion or US$4.6 billion in 2023).",
National Health Mission,Health,"National Health Mission CSS MoHFW 2005[N] Health To improve India's health sector. Financial outlay in 2022 was â‚¹28,859 crore (equivalent to â‚¹320 billion or US$3.8 billion in 2023). Includes a number of (subsumed) programmes such as National Mental Health Programme (1982), National Blindness Control Programme (1976) and National Vector Borne Diseases Control Programme (2003).",
Soil Health Card Scheme,Health,Soil Health Card Scheme CS MoAFW 2015 Agriculture To help farmers know the health of their soil and use fertilizers accordingly.,
National Mental Health Programme(NMHP),Health,National Mental Health Programme(NMHP) CS MoHFW 1982 Health To address the mental health needs of the population.,
Janani Suraksha Yojana(JSY,Health,Janani Suraksha Yojana(JSY) CSS MoHFW 2005 Health To reduce maternal and neonatal mortality by promoting institutional delivery among poor pregnant women.,
Integrated Child Development Services(ICDS,Health,Integrated Child Development Services(ICDS) CSS MoWCD 1975 Social Welfare To improve the nutritional and health status of children in the age-group 0-6 years.,
Midday Meal Scheme ,Health,Midday Meal Scheme (now PM POSHAN) CSS MoE 1995 Education and Health To provide free lunch to school children.,
Pradhan Mantri Matru Vandana Yojana(PMMVY,Health,Pradhan Mantri Matru Vandana Yojana(PMMVY) CSS MoWCD 2017 Health and Nutrition A maternity benefit program.,
Pradhan Mantri Bhartiya Janaushadhi Pariyojana(PMBJP,Health,Pradhan Mantri Bhartiya Janaushadhi Pariyojana(PMBJP) CS MoCF 2008 Health To make quality generic medicines available at affordable prices to all.,
National Health Protection Scheme (now AB PM-JAY),Health,National Health Protection Scheme (now AB PM-JAY) CSS MoHFW 2018 Health Providing insurance cover of 5 lakh per family per year for secondary and tertiary care hospitalization.,
Mission Indradhanush ,Health,Mission Indradhanush CS MoHFW 2014 Health To achieve full immunization coverage for all children and pregnant women.,
Intensified Mission Indradhanush(IMI) ,Health,Intensified Mission Indradhanush(IMI) CS MoHFW 2017 Health A more focused approach to reach the unreached children and pregnant women.,
Rashtriya Bal Swasthya Karyakram(RBSK),Health,"Rashtriya Bal Swasthya Karyakram(RBSK) CSS MoHFW 2013 Health Early identification and early intervention for children from birth to 18 years to cover 4 'D's viz. Defects at birth, Deficiencies, Diseases, Development delays including disability.",
Rashtriya Kishor Swasthya Karyakram(RKSK) ,Health,Rashtriya Kishor Swasthya Karyakram(RKSK) CSS MoHFW 2014 Health To address the health and development needs of adolescents.,
National Leprosy Eradication Programme(NLEP),Health,National Leprosy Eradication Programme(NLEP) CS MoHFW 1983 Health To eliminate leprosy in India.,
Revised National Tuberculosis Control Programme(RNTCP) ,Health,Revised National Tuberculosis Control Programme(RNTCP) CS MoHFW 1997 Health To control and eventually eliminate TB in India.,
National AIDS Control Programme(NACP),Health,National AIDS Control Programme(NACP) CS MoHFW 1992 Health To prevent and control the spread of HIV AIDS in India.,
Pulse Polio Programme,Health,Pulse Polio Programme CS MoHFW 1995 Health To eradicate polio from India.,
